band,aw,bbw,a0,a1
400,0.00663,0.0038,0.68426627,0.02053447
401,0.00644,0.003761552,0.693662999,0.019774688
402,0.00625,0.003723103,0.703059728,0.019014905
403,0.00606,0.003684655,0.712456457,0.018255123
404,0.00587,0.003646207,0.721853186,0.01749534
405,0.00568,0.003607759,0.731249915,0.016735558
406,0.00549,0.00356931,0.740646644,0.015975776
407,0.0053,0.003530862,0.750043373,0.015215993
408,0.00511,0.003492414,0.759440102,0.014456211
409,0.00492,0.003453966,0.768836831,0.013696428
410,0.00473,0.003415517,0.77823356,0.012936646
411,0.00454,0.003377069,0.78677919,0.012283111
412,0.00435,0.003338621,0.79532482,0.011629576
413,0.00416,0.003300173,0.80387045,0.010976041
414,0.00397,0.003261724,0.81241608,0.010322506
415,0.00378,0.003223276,0.82096171,0.009668971
416,0.00359,0.003184828,0.82950734,0.009015436
417,0.0034,0.00314638,0.83805297,0.008361901
418,0.00321,0.003107931,0.8465986,0.007708366
419,0.00302,0.003069483,0.85514423,0.00705483
420,0.00454,0.003077838,0.86368986,0.006401295
421,0.004581,0.003048089,0.873348112,0.005929595
422,0.004622,0.00301834,0.883006364,0.005457894
423,0.004663,0.002988591,0.892664616,0.004986193
424,0.004704,0.002958842,0.902322868,0.004514493
425,0.004745,0.002929093,0.91198112,0.004042792
426,0.004786,0.002899344,0.921639372,0.003571091
427,0.004827,0.002869595,0.931297624,0.003099391
428,0.004868,0.002839845,0.940955876,0.00262769
429,0.004909,0.002810096,0.950614128,0.002155989
430,0.00495,0.002780347,0.96027238,0.001684289
431,0.00509,0.002754061,0.964245142,0.00151586
432,0.00523,0.002727775,0.968217904,0.001347431
433,0.00537,0.002701489,0.972190666,0.001179002
434,0.00551,0.002675203,0.976163428,0.001010573
435,0.00565,0.002648917,0.98013619,0.000842144
436,0.00579,0.002622631,0.984108952,0.000673716
437,0.00593,0.002596345,0.988081714,0.000505287
438,0.00607,0.002570059,0.992054476,0.000336858
439,0.00621,0.002543773,0.996027238,0.000168429
440,0.00635,0.002517487,1.0,0.0
441,0.006637,0.002494195,0.996339031,0.000602146
442,0.006924,0.002470904,0.992678062,0.001204292
443,0.007211,0.002447612,0.989017093,0.001806438
444,0.007498,0.002424321,0.985356124,0.002408584
445,0.007785,0.002401029,0.981695155,0.00301073
446,0.008072,0.002377737,0.978034186,0.003612876
447,0.008359,0.002354446,0.974373217,0.004215022
448,0.008646,0.002331154,0.970712248,0.004817168
449,0.008933,0.002307863,0.967051279,0.005419314
450,0.00922,0.002284571,0.96339031,0.00602146
451,0.009277,0.002263877,0.960162018,0.006510148
452,0.009334,0.002243184,0.956933726,0.006998837
453,0.009391,0.00222249,0.953705434,0.007487526
454,0.009448,0.002201796,0.950477142,0.007976214
455,0.009505,0.002181102,0.94724885,0.008464903
456,0.009562,0.002160409,0.944020558,0.008953592
457,0.009619,0.002139715,0.940792266,0.00944228
458,0.009676,0.002119021,0.937563974,0.009930969
459,0.009733,0.002098327,0.934335682,0.010419657
460,0.00979,0.002077633,0.93110739,0.010908346
461,0.009871,0.0020592,0.924961707,0.011389206
462,0.009952,0.002040767,0.918816024,0.011870066
463,0.010033,0.002022334,0.912670341,0.012350927
464,0.010114,0.002003901,0.906524658,0.012831787
465,0.010195,0.001985468,0.900378975,0.013312647
466,0.010276,0.001967035,0.894233292,0.013793507
467,0.010357,0.001948602,0.888087609,0.014274367
468,0.010438,0.001930169,0.881941926,0.014755228
469,0.010519,0.001911736,0.875796243,0.015236088
470,0.0106,0.001893303,0.86965056,0.015716948
471,0.01081,0.001876843,0.861583696,0.015668408
472,0.01102,0.001860383,0.853516832,0.015619868
473,0.01123,0.001843923,0.845449968,0.015571328
474,0.01144,0.001827463,0.837383104,0.015522788
475,0.01165,0.001811003,0.82931624,0.015474248
476,0.01186,0.001794543,0.821249376,0.015425707
477,0.01207,0.001778083,0.813182512,0.015377167
478,0.01228,0.001761624,0.805115648,0.015328627
479,0.01249,0.001745164,0.797048784,0.015280087
480,0.0127,0.001728704,0.78898192,0.015231547
481,0.01293,0.001713971,0.785664787,0.01626808
482,0.01316,0.001699239,0.782347654,0.017304613
483,0.01339,0.001684506,0.779030521,0.018341147
484,0.01362,0.001669774,0.775713388,0.01937768
485,0.01385,0.001655041,0.772396255,0.020414213
486,0.01408,0.001640308,0.769079122,0.021450746
487,0.01431,0.001625576,0.765761989,0.022487279
488,0.01454,0.001610843,0.762444856,0.023523813
489,0.01477,0.001596111,0.759127723,0.024560346
490,0.015,0.001581378,0.75581059,0.025596879
491,0.01554,0.001568162,0.75356303,0.028627934
492,0.01608,0.001554945,0.75131547,0.031658989
493,0.01662,0.001541729,0.74906791,0.034690044
494,0.01716,0.001528512,0.74682035,0.037721099
495,0.0177,0.001515296,0.74457279,0.040752153
496,0.01824,0.001502079,0.74232523,0.043783208
497,0.01878,0.001488863,0.74007767,0.046814263
498,0.01932,0.001475646,0.741789586,0.049845318
499,0.01986,0.00146243,0.737562288,0.052876373
500,0.0204,0.001449213,0.73333499,0.055907428
501,0.02161,0.001437331,0.729107692,0.058968421
502,0.02282,0.001425449,0.724880394,0.062029414
503,0.02403,0.001413567,0.720653096,0.065090407
504,0.02524,0.001401685,0.716425798,0.0681514
505,0.02645,0.001389803,0.7121985,0.071212394
506,0.02766,0.001377921,0.707971202,0.074273387
507,0.02887,0.001366038,0.703743904,0.07733438
508,0.03008,0.001354156,0.699516606,0.080395373
509,0.03129,0.001342274,0.695289308,0.083456366
510,0.0325,0.001330392,0.69106201,0.086517359
511,0.03334,0.001319687,0.685227999,0.087679724
512,0.03418,0.001308982,0.679393988,0.088842088
513,0.03502,0.001298277,0.673559977,0.090004453
514,0.03586,0.001287572,0.667725966,0.091166818
515,0.0367,0.001276868,0.661891955,0.092329183
516,0.03754,0.001266163,0.656057944,0.093491547
517,0.03838,0.001255458,0.650223933,0.094653912
518,0.03922,0.001244753,0.644389922,0.095816277
519,0.04006,0.001234048,0.638555911,0.096978641
520,0.0409,0.001223343,0.6327219,0.098141006
521,0.04115,0.00121368,0.626257644,0.098016654
522,0.0414,0.001204016,0.619793388,0.097892302
523,0.04165,0.001194352,0.613329132,0.097767951
524,0.0419,0.001184689,0.606864876,0.097643599
525,0.04215,0.001175025,0.60040062,0.097519247
526,0.0424,0.001165361,0.593936364,0.097394895
527,0.04265,0.001155698,0.587472108,0.097270543
528,0.0429,0.001146034,0.581007852,0.097146192
529,0.04315,0.001136371,0.574543596,0.09702184
530,0.0434,0.001126707,0.56807934,0.096897488
531,0.0438,0.001117967,0.561726525,0.096200958
532,0.0442,0.001109226,0.55537371,0.095504429
533,0.0446,0.001100485,0.549020895,0.094807899
534,0.045,0.001091745,0.54266808,0.094111369
535,0.0454,0.001083004,0.536315265,0.09341484
536,0.0458,0.001074264,0.52996245,0.09271831
537,0.0462,0.001065523,0.523609635,0.09202178
538,0.0466,0.001056783,0.51725682,0.09132525
539,0.047,0.001048042,0.510904005,0.090628721
540,0.0474,0.001039302,0.50455119,0.089932191
541,0.04831,0.001031382,0.496719627,0.088746547
542,0.04922,0.001023461,0.488888064,0.087560903
543,0.05013,0.001015541,0.481056501,0.086375259
544,0.05104,0.001007621,0.473224938,0.085189615
545,0.05195,0.0009997,0.465393375,0.084003972
546,0.05286,0.00099178,0.457561812,0.082818328
547,0.05377,0.00098386,0.449730249,0.081632684
548,0.05468,0.000975939,0.441898686,0.08044704
549,0.05559,0.000968019,0.434067123,0.079261396
550,0.0565,0.000960099,0.42623556,0.078075752
551,0.05704,0.000952909,0.417946194,0.07685754
552,0.05758,0.000945719,0.409656828,0.075639329
553,0.05812,0.000938529,0.401367462,0.074421117
554,0.05866,0.000931339,0.393078096,0.073202906
555,0.0592,0.000924149,0.38478873,0.071984695
556,0.05974,0.000916959,0.376499364,0.070766483
557,0.06028,0.000909769,0.368209998,0.069548272
558,0.06082,0.000902579,0.359920632,0.06833006
559,0.06136,0.000895389,0.351631266,0.067111849
560,0.0619,0.000888199,0.3433419,0.065893637
